loan_id,customer_id,account_id,loan_type,principal_amount,outstanding_balance,interest_rate_pct,tenure_months,emi_amount,disbursement_date,maturity_date,loan_status,installments_paid,installments_remaining,days_past_due,collateral_type,collateral_value,loan_purpose,credit_score_at_origination,annual_income_at_origination,debt_to_income_ratio,is_npa,bank_name,loan_officer_id
LOAN0000001,CUST004392,ACC0009715,BUSINESS,423811.14,67148.2,6.11,84,6213.64,2016-12-26,2023-11-20,APPROVED,82,2,0,VEHICLE,,Business financing,685,53854.65,0.364,False,Citibank,LO386
LOAN0000002,CUST002966,ACC0004811,BUSINESS,45919.36,40330.7,15.22,36,1596.76,2020-08-08,2023-07-24,ACTIVE,5,31,0,GUARANTOR,,Business financing,675,15748.97,0.165,False,Wells Fargo,LO171
LOAN0000003,CUST007442,ACC0000949,EDUCATION,7817.07,490.37,10.67,84,132.49,2023-06-15,2030-05-09,UNDER_REVIEW,79,5,0,FD,19282.32,Education financing,608,14981.76,0.357,False,Bank of America,LO576
LOAN0000004,CUST001815,ACC0007133,HOME,611834.44,0.0,5.61,240,4246.83,2022-10-19,2042-07-06,REJECTED,219,21,0,PROPERTY,926746.91,Home financing,726,85278.2,0.444,False,Bank of America,LO392
LOAN0000005,CUST004370,ACC0004911,HOME,731223.8,66581.28,17.22,60,18259.41,2018-11-25,2023-10-30,ACTIVE,52,8,0,FD,845517.73,Home financing,709,185720.3,0.283,False,ICICI Bank,LO552
LOAN0000006,CUST002114,ACC0007319,EDUCATION,46133.67,14125.75,17.24,24,2286.28,2025-02-01,2027-01-22,REJECTED,20,4,0,VEHICLE,75532.02,Education financing,684,157869.81,0.277,False,HDFC Bank,LO186
LOAN0000007,CUST008980,ACC0002929,MORTGAGE,319409.22,61895.29,13.95,24,15328.21,2020-02-15,2022-02-04,DEFAULTED,24,0,142,GUARANTOR,,Mortgage financing,608,66576.5,0.274,True,Bank of America,LO421
LOAN0000008,CUST000956,ACC0009900,MORTGAGE,832695.13,112593.37,13.86,120,12858.96,2024-09-02,2034-07-12,APPROVED,80,40,0,VEHICLE,1291239.74,Mortgage financing,705,85087.58,0.197,False,ICICI Bank,LO748
LOAN0000009,CUST006257,ACC0008356,BUSINESS,441570.59,181736.94,10.23,48,11248.21,2018-04-19,2022-03-29,ACTIVE,33,15,0,NONE,1017056.16,Business financing,640,119486.96,0.249,False,HDFC Bank,LO423
LOAN0000010,CUST003472,ACC0000525,HOME,600263.45,565142.97,15.06,48,16724.04,2022-12-24,2026-12-03,DEFAULTED,3,45,153,PROPERTY,1183766.06,Home financing,604,61763.65,0.339,True,Wells Fargo,LO969
LOAN0000011,CUST004867,ACC0005458,EDUCATION,14445.57,13372.76,16.42,36,510.86,2018-08-10,2021-07-25,APPROVED,3,33,0,NONE,,Education financing,607,107870.4,0.499,False,HDFC Bank,LO104
LOAN0000012,CUST001518,ACC0001528,HOME,450520.98,0.0,11.2,360,4358.64,2019-06-23,2049-01-16,CLOSED,271,89,0,NONE,513826.09,Home financing,785,41681.4,0.561,False,Citibank,LO965
LOAN0000013,CUST005129,ACC0006433,MORTGAGE,765124.74,665165.02,11.11,24,35699.9,2019-01-11,2020-12-31,REJECTED,4,20,0,NONE,,Mortgage financing,686,46966.84,0.406,False,Axis Bank,LO238
LOAN0000014,CUST009861,ACC0001760,HOME,613390.84,381094.55,14.81,12,55308.64,2022-11-17,2023-11-12,REJECTED,6,6,6,GUARANTOR,,Home financing,791,61270.78,0.502,False,Citibank,LO922
LOAN0000015,CUST004440,ACC0005257,PERSONAL,23294.82,20734.44,6.63,60,457.21,2020-10-21,2025-09-25,ACTIVE,8,52,0,NONE,,Personal financing,603,30771.37,0.506,False,Axis Bank,LO631
LOAN0000016,CUST002443,ACC0005754,EDUCATION,28432.68,9012.83,17.45,240,426.81,2021-08-30,2041-05-17,UNDER_REVIEW,65,175,0,VEHICLE,31012.27,Education financing,644,132100.11,0.157,False,HDFC Bank,LO637
LOAN0000017,CUST009856,ACC0003642,MORTGAGE,688624.43,0.0,15.54,240,9343.67,2020-02-13,2039-10-31,ACTIVE,204,36,0,PROPERTY,,Mortgage financing,681,92363.73,0.593,False,Wells Fargo,LO152
