transaction_id,source_account_id,destination_account_id,customer_id,transaction_type,amount,currency,transaction_date,transaction_time,transaction_datetime,channel,category,merchant_name,merchant_city,balance_after_txn,status,reference_number,description,is_flagged_fraud,fraud_score,ip_address,device_id
TXN00000001,ACC0009275,,CUST002663,CREDIT,265.08,USD,2025-08-08,05:10:00,2025-08-08 05:25:00,WEB,Shopping,,,4167.69,SUCCESS,REF348035,CREDIT - Entertainment,False,0.202,244.93.85.7,DEV53349
TXN00000002,ACC0005779,,CUST003684,DEPOSIT,1694.71,USD,2026-03-26,19:39:00,2026-03-26 19:54:00,POS,Utilities,,,22749.44,SUCCESS,REF245989,DEPOSIT - Entertainment,False,0.126,236.240.154.216,DEV50921
TXN00000003,ACC0007197,,CUST004499,DEPOSIT,84.91,GBP,2025-07-28,16:28:00,2025-07-28 16:43:00,NEFT,Salary,,,84.91,PENDING,REF687086,DEPOSIT - Investment,False,0.239,42.7.131.127,DEV28356
TXN00000004,ACC0008542,,CUST009063,WITHDRAWAL,1255.03,USD,2026-04-25,06:31:00,2026-04-25 06:46:00,POS,Insurance,,,0.0,FAILED,REF487258,WITHDRAWAL - Salary,False,0.189,220.238.16.235,DEV77490
TXN00000005,ACC0009395,,CUST002233,DEPOSIT,468.36,USD,2025-06-13,09:26:00,2025-06-13 09:41:00,WEB,Transfer,,,33852.05,FAILED,REF545171,DEPOSIT - Groceries,False,0.058,92.139.149.58,DEV37198
TXN00000006,ACC0005776,,CUST004740,DEBIT,187.21,USD,2026-05-09,13:56:00,2026-05-09 14:11:00,UPI,ATM,Merchant_2115,Philadelphia,4992.12,PENDING,REF879776,DEBIT - ATM,False,0.175,209.37.221.50,DEV78029
TXN00000007,ACC0009312,,CUST002646,WITHDRAWAL,567.19,USD,2025-05-29,15:43:00,2025-05-29 15:58:00,NEFT,Travel,,,22374.9,SUCCESS,REF598927,WITHDRAWAL - Groceries,False,0.188,25.49.208.24,DEV65384
TXN00000008,ACC0004175,,CUST000096,CREDIT,1131.03,USD,2025-06-17,13:27:00,2025-06-17 13:42:00,BRANCH,Investment,,,1182.65,SUCCESS,REF317288,CREDIT - Investment,False,0.026,224.185.162.204,DEV40254
TXN00000009,ACC0001793,ACC0009107,CUST001691,PAYMENT,982.61,USD,2026-02-03,08:58:00,2026-02-03 09:13:00,RTGS,Education,Merchant_7456,Chicago,26737.26,SUCCESS,REF203236,PAYMENT - Entertainment,False,0.261,115.215.245.73,DEV99371
TXN00000010,ACC0001975,ACC0009418,CUST008822,PAYMENT,466.16,EUR,2026-01-01,14:53:00,2026-01-01 15:08:00,WEB,Transfer,Merchant_4156,Houston,28863.02,SUCCESS,REF713281,PAYMENT - Travel,False,0.269,151.202.150.196,DEV88888
TXN00000011,ACC0003748,,CUST006107,DEBIT,964.75,INR,2025-07-01,21:26:00,2025-07-01 21:41:00,POS,Groceries,Merchant_2179,Denver,28904.48,SUCCESS,REF831922,DEBIT - Groceries,False,0.222,125.201.28.1,DEV67523
TXN00000012,ACC0006636,,CUST008170,DEBIT,15.11,USD,2026-02-26,07:18:00,2026-02-26 07:33:00,UPI,Insurance,Merchant_9702,Portland,33686.05,SUCCESS,REF431240,DEBIT - Investment,False,0.092,88.39.184.107,DEV23417
TXN00000013,ACC0007909,ACC0002709,CUST008841,TRANSFER,878.25,GBP,2025-03-07,00:13:00,2025-03-07 00:28:00,RTGS,Dining,,,11941.09,FAILED,REF843933,TRANSFER - Insurance,False,0.273,210.117.168.144,DEV25512
TXN00000014,ACC0004942,,CUST004413,CREDIT,328.08,USD,2026-02-01,19:46:00,2026-02-01 20:01:00,WEB,Travel,,,8482.65,FAILED,REF970157,CREDIT - Rent,False,0.219,131.20.19.18,DEV21477
TXN00000015,ACC0009896,,CUST006775,REFUND,59.26,USD,2026-02-19,10:18:00,2026-02-19 10:33:00,MOBILE,Utilities,,,59.26,SUCCESS,REF144816,REFUND - Dining,False,0.292,217.221.119.198,DEV71137
TXN00000016,ACC0008058,,CUST005720,CREDIT,3547.11,GBP,2025-12-19,13:13:00,2025-12-19 13:28:00,NEFT,Utilities,,,30642.18,SUCCESS,REF867611,CREDIT - Insurance,False,0.254,157.107.210.243,DEV14780
TXN00000017,ACC0005808,,CUST007450,DEPOSIT,331.43,USD,2025-12-04,19:08:00,2025-12-04 19:23:00,ATM,Investment,,,3445.47,SUCCESS,REF178138,DEPOSIT - Utilities,False,0.127,220.15.14.5,DEV18653
TXN00000018,ACC0003802,ACC0005776,CUST008237,PAYMENT,486.76,INR,2025-02-19,02:49:00,2025-02-19 03:04:00,RTGS,Dining,Merchant_2785,Boston,8074.54,FAILED,REF617004,PAYMENT - Rent,False,0.004,154.145.230.253,DEV99383
TXN00000019,ACC0001358,,CUST000465,CREDIT,1192.05,USD,2025-07-22,11:42:00,2025-07-22 11:57:00,UPI,Insurance,,,11644.05,PENDING,REF477240,CREDIT - Investment,False,0.218,112.70.231.155,DEV66511
TXN00000020,ACC0004098,,CUST001854,REFUND,616.07,INR,2026-02-21,08:16:00,2026-02-21 08:31:00,RTGS,Education,,,16326.14,SUCCESS,REF549694,REFUND - Healthcare,False,0.237,63.186.164.48,DEV13818
TXN00000021,ACC0001566,,CUST003054,DEPOSIT,2173.97,USD,2026-03-19,21:36:00,2026-03-19 21:51:00,BRANCH,Healthcare,,,2173.97,SUCCESS,REF407114,DEPOSIT - Rent,False,0.216,67.148.149.99,DEV11464
TXN00000022,ACC0002672,,CUST009054,DEPOSIT,1.32,USD,2026-04-07,21:20:00,2026-04-07 21:35:00,BRANCH,Rent,,,1.32,PENDING,REF724893,DEPOSIT - Salary,False,0.21,68.198.155.148,DEV57865
TXN00000023,ACC0007598,,CUST007873,WITHDRAWAL,955.0,USD,2026-02-26,12:54:00,2026-02-26 13:09:00,BRANCH,Rent,,,0.0,SUCCESS,REF695462,WITHDRAWAL - Shopping,False,0.025,9.157.240.180,DEV89763
